Algorithm,Array Type,Array Size,Time (seconds)
Insertion_sort,random,4,2.52723693847656E-05
Insertion_sort,increasing,4,6.91413879394531E-06
Insertion_sort,decreasing,4,1.00135803222656E-05
Insertion_sort,constant,4,5.96046447753906E-06
Insertion_sort,a_shaped,4,5.00679016113281E-06
Insertion_sort,random,8,2.00271606445313E-05
Insertion_sort,increasing,8,6.43730163574219E-06
Insertion_sort,decreasing,8,2.24113464355469E-05
Insertion_sort,constant,8,5.7220458984375E-06
Insertion_sort,a_shaped,8,1.23977661132813E-05
Insertion_sort,random,16,4.62532043457031E-05
Insertion_sort,increasing,16,1.19209289550781E-05
Insertion_sort,decreasing,16,8.51154327392578E-05
Insertion_sort,constant,16,1.40666961669922E-05
Insertion_sort,a_shaped,16,2.74181365966797E-05
Insertion_sort,random,32,0.000141620635986328
Insertion_sort,increasing,32,1.35898590087891E-05
Insertion_sort,decreasing,32,0.000182390213012695
Insertion_sort,constant,32,1.28746032714844E-05
Insertion_sort,a_shaped,32,9.13143157958984E-05
Insertion_sort,random,64,0.000444889068603516
Insertion_sort,increasing,64,2.59876251220703E-05
Insertion_sort,decreasing,64,0.000729799270629883
Insertion_sort,constant,64,2.55107879638672E-05
Insertion_sort,a_shaped,64,0.000362157821655273
Insertion_sort,random,128,0.00167274475097656
Insertion_sort,increasing,128,4.79221343994141E-05
Insertion_sort,decreasing,128,0.00323629379272461
Insertion_sort,constant,128,9.13143157958984E-05
Insertion_sort,a_shaped,128,0.00149297714233398
Insertion_sort,random,256,0.00604391098022461
Insertion_sort,increasing,256,9.84668731689453E-05
Insertion_sort,decreasing,256,0.0125434398651123
Insertion_sort,constant,256,0.000109672546386719
Insertion_sort,a_shaped,256,0.00601577758789063
Insertion_sort,random,512,0.0260336399078369
Insertion_sort,increasing,512,0.000208377838134766
Insertion_sort,decreasing,512,0.0454926490783691
Insertion_sort,constant,512,0.000188350677490234
Insertion_sort,a_shaped,512,0.0223984718322754
Insertion_sort,random,1024,0.0977435111999512
Insertion_sort,increasing,1024,0.000406503677368164
Insertion_sort,decreasing,1024,0.187456846237183
Insertion_sort,constant,1024,0.000547170639038086
Insertion_sort,a_shaped,1024,0.10905933380127
Insertion_sort,random,2048,0.373260259628296
Insertion_sort,increasing,2048,0.000660896301269531
Insertion_sort,decreasing,2048,0.681195497512817
Insertion_sort,constant,2048,0.000813484191894531
Insertion_sort,a_shaped,2048,0.367585897445679
Insertion_sort,random,4096,1.18302726745605
Insertion_sort,increasing,4096,0.00121831893920898
Insertion_sort,decreasing,4096,2.44048452377319
Insertion_sort,constant,4096,0.00165486335754395
Insertion_sort,a_shaped,4096,1.22201490402222
Insertion_sort,random,8192,4.81731796264648
Insertion_sort,increasing,8192,0.00244522094726563
Insertion_sort,decreasing,8192,11.0317919254303
Insertion_sort,constant,8192,0.00345754623413086
Insertion_sort,a_shaped,8192,5.65453147888184
Insertion_sort,random,16384,22.2898683547974
Insertion_sort,increasing,16384,0.00534224510192871
Insertion_sort,decreasing,16384,43.5166621208191
Insertion_sort,constant,16384,0.0078885555267334
Insertion_sort,a_shaped,16384,22.8948390483856
Insertion_sort,random,32768,78.540894985199
Insertion_sort,increasing,32768,0.00971317291259766
Insertion_sort,decreasing,32768,151.592820167542
Insertion_sort,constant,32768,0.00945949554443359
Insertion_sort,a_shaped,32768,77.2047324180603
Insertion_sort,random,65536,297.210208654404
Insertion_sort,increasing,65536,0.0269248485565186
Insertion_sort,decreasing,65536,618.687849760056
Insertion_sort,constant,65536,0.0294857025146484
Insertion_sort,a_shaped,65536,306.198353052139
Selection_sort,random,4,2.09808349609375E-05
Selection_sort,increasing,4,5.24520874023438E-06
Selection_sort,decreasing,4,3.814697265625E-06
Selection_sort,constant,4,3.57627868652344E-06
Selection_sort,a_shaped,4,3.57627868652344E-06
Selection_sort,random,8,8.82148742675781E-06
Selection_sort,increasing,8,8.10623168945313E-06
Selection_sort,decreasing,8,8.10623168945313E-06
Selection_sort,constant,8,8.10623168945313E-06
Selection_sort,a_shaped,8,1.16825103759766E-05
Selection_sort,random,16,3.26633453369141E-05
Selection_sort,increasing,16,3.17096710205078E-05
Selection_sort,decreasing,16,3.29017639160156E-05
Selection_sort,constant,16,3.26633453369141E-05
Selection_sort,a_shaped,16,2.59876251220703E-05
Selection_sort,random,32,9.13143157958984E-05
Selection_sort,increasing,32,8.91685485839844E-05
Selection_sort,decreasing,32,9.10758972167969E-05
Selection_sort,constant,32,8.86917114257813E-05
Selection_sort,a_shaped,32,9.05990600585938E-05
Selection_sort,random,64,0.000337362289428711
Selection_sort,increasing,64,0.000337839126586914
Selection_sort,decreasing,64,0.00034022331237793
Selection_sort,constant,64,0.00034642219543457
Selection_sort,a_shaped,64,0.000353813171386719
Selection_sort,random,128,0.00136208534240723
Selection_sort,increasing,128,0.00131797790527344
Selection_sort,decreasing,128,0.00130653381347656
Selection_sort,constant,128,0.00133109092712402
Selection_sort,a_shaped,128,0.00143098831176758
Selection_sort,random,256,0.00661110877990723
Selection_sort,increasing,256,0.00715136528015137
Selection_sort,decreasing,256,0.00725221633911133
Selection_sort,constant,256,0.00712394714355469
Selection_sort,a_shaped,256,0.00723075866699219
Selection_sort,random,512,0.0260863304138184
Selection_sort,increasing,512,0.0229082107543945
Selection_sort,decreasing,512,0.0217354297637939
Selection_sort,constant,512,0.021998405456543
Selection_sort,a_shaped,512,0.0218131542205811
Selection_sort,random,1024,0.0881557464599609
Selection_sort,increasing,1024,0.0896422863006592
Selection_sort,decreasing,1024,0.0888967514038086
Selection_sort,constant,1024,0.0884280204772949
Selection_sort,a_shaped,1024,0.0886085033416748
Selection_sort,random,2048,0.397352695465088
Selection_sort,increasing,2048,0.373440504074097
Selection_sort,decreasing,2048,0.355446100234985
Selection_sort,constant,2048,0.358825445175171
Selection_sort,a_shaped,2048,0.352808952331543
Selection_sort,random,4096,1.41215920448303
Selection_sort,increasing,4096,1.52569532394409
Selection_sort,decreasing,4096,1.49298286437988
Selection_sort,constant,4096,1.4966459274292
Selection_sort,a_shaped,4096,1.47820973396301
Selection_sort,random,8192,6.13411641120911
Selection_sort,increasing,8192,5.95857930183411
Selection_sort,decreasing,8192,6.09575366973877
Selection_sort,constant,8192,6.13116550445557
Selection_sort,a_shaped,8192,6.01677751541138
Selection_sort,random,16384,24.6206459999084
Selection_sort,increasing,16384,24.3645257949829
Selection_sort,decreasing,16384,24.6104867458344
Selection_sort,constant,16384,24.5654036998749
Selection_sort,a_shaped,16384,24.475733757019
Selection_sort,random,32768,97.9802668094635
Selection_sort,increasing,32768,99.8666136264801
Selection_sort,decreasing,32768,99.2125806808472
Selection_sort,constant,32768,95.2000479698181
Selection_sort,a_shaped,32768,100.584766864777
Selection_sort,random,65536,388.943584918976
Selection_sort,increasing,65536,395.308822631836
Selection_sort,decreasing,65536,398.139261245728
Selection_sort,constant,65536,397.649657487869
Selection_sort,a_shaped,65536,401.662480354309
Shell_sort,random,4,2.52723693847656E-05
Shell_sort,increasing,4,6.91413879394531E-06
Shell_sort,decreasing,4,5.24520874023438E-06
Shell_sort,constant,4,2.38418579101563E-06
Shell_sort,a_shaped,4,3.09944152832031E-06
Shell_sort,random,8,1.33514404296875E-05
Shell_sort,increasing,8,5.24520874023438E-06
Shell_sort,decreasing,8,0.0000152587890625
Shell_sort,constant,8,3.814697265625E-06
Shell_sort,a_shaped,8,7.15255737304688E-06
Shell_sort,random,16,2.16960906982422E-05
Shell_sort,increasing,16,7.86781311035156E-06
Shell_sort,decreasing,16,2.45571136474609E-05
Shell_sort,constant,16,8.10623168945313E-06
Shell_sort,a_shaped,16,1.54972076416016E-05
Shell_sort,random,32,4.9591064453125E-05
Shell_sort,increasing,32,1.9073486328125E-05
Shell_sort,decreasing,32,4.33921813964844E-05
Shell_sort,constant,32,1.81198120117188E-05
Shell_sort,a_shaped,32,3.62396240234375E-05
Shell_sort,random,64,0.000128984451293945
Shell_sort,increasing,64,4.29153442382813E-05
Shell_sort,decreasing,64,9.5367431640625E-05
Shell_sort,constant,64,4.26769256591797E-05
Shell_sort,a_shaped,64,8.10623168945313E-05
Shell_sort,random,128,0.00030517578125
Shell_sort,increasing,128,0.000105142593383789
Shell_sort,decreasing,128,0.000205039978027344
Shell_sort,constant,128,0.0001068115234375
Shell_sort,a_shaped,128,0.000198841094970703
Shell_sort,random,256,0.000726461410522461
Shell_sort,increasing,256,0.000236749649047852
Shell_sort,decreasing,256,0.000504970550537109
Shell_sort,constant,256,0.000234603881835938
Shell_sort,a_shaped,256,0.000453710556030273
Shell_sort,random,512,0.00192904472351074
Shell_sort,increasing,512,0.000580072402954102
Shell_sort,decreasing,512,0.00141167640686035
Shell_sort,constant,512,0.000629425048828125
Shell_sort,a_shaped,512,0.00122976303100586
Shell_sort,random,1024,0.00603485107421875
Shell_sort,increasing,1024,0.00184440612792969
Shell_sort,decreasing,1024,0.0037539005279541
